Wall time,Step,Value
1722267929.7093644,0,0.004163113422691822
1722281550.7368035,1,0.0009572662529535592
1722298571.131951,2,0.0006294393679127097
1722311985.2623487,3,0.0004854510771110654
1722326085.7671115,4,0.0004063453816343099
1722343107.3177285,5,0.00036175426794216037
1722367048.3372016,6,0.00035078570363111794
1722389491.6312919,7,0.000350565038388595
1722404165.343796,8,0.00035764460335485637
1722416631.8734674,9,0.00036569181247614324
1722429931.041565,10,0.00036764590186066926
1722442199.3503783,11,0.0003597495087888092
1722457971.4469535,12,0.00034061697078868747
1722473726.983324,13,0.0003106584772467613
1722491834.4775174,14,0.00027125756605528295
1722506964.8955517,15,0.00022822820756118745
1722521897.058375,16,0.00018846630700863898
1722538185.902187,17,0.0001612730120541528
1722554821.5656898,18,0.00015332909242715687
1722569059.8291373,19,0.0001545541308587417
1722586775.8710752,20,0.0001666751195443794
1722605916.8822982,21,0.00018627848476171494
1722624137.6041203,22,0.00020767562091350555
1722638130.291831,23,0.00022158553474582732
1722652913.0108016,24,0.00022171503223944455
1722667034.2761238,25,0.00020440500520635396
1722682167.209868,26,0.00017363589722663164
1722694888.51206,27,0.00013591769675258547
1722708716.0590973,28,0.00010274345549987629
1722719870.6347208,29,8.348879055120051e-05
1722731323.4278986,30,7.685103628318757e-05
1722742052.3088367,31,7.832191477064043e-05
1722755228.838573,32,8.841673843562603e-05
1722768011.2612867,33,0.0001066180266207084
1722782167.5982137,34,0.00013022155326325446
1722797178.7016997,35,0.00014984884182922542
1722812144.9098678,36,0.00015536510909441859
1722823138.3083146,37,0.00014339247718453407
1722834225.2627666,38,0.00011706941586453468
1722845288.47498,39,8.824424003250897e-05
