Wall time,Step,Value
1722267929.709377,0,0.0
1722281550.7368453,1,0.0009240913786925375
1722298571.1319642,2,0.05600845813751221
1722311985.2623894,3,0.1677798330783844
1722326085.7671237,4,0.2552393674850464
1722343107.3177698,5,0.30972880125045776
1722367048.3372145,6,0.32724499702453613
1722389491.631333,7,0.3276471197605133
1722404165.3438084,8,0.32438111305236816
1722416631.8735085,9,0.32225915789604187
1722429931.041578,10,0.32547029852867126
1722442199.3504188,11,0.3379218280315399
1722457971.446966,12,0.3652285933494568
1722473726.983365,13,0.4077692925930023
1722491834.4775298,14,0.4651029109954834
1722506964.895594,15,0.5366648435592651
1722521897.0583873,16,0.6085975170135498
1722538185.9022274,17,0.6634581685066223
1722554821.565703,18,0.6811608076095581
1722569059.8291788,19,0.6784103512763977
1722586775.8710878,20,0.650608241558075
1722605916.88234,21,0.6093026995658875
1722624137.604133,22,0.5686437487602234
1722638130.291871,23,0.5419590473175049
1722652913.0108142,24,0.5425651669502258
1722667034.2761648,25,0.5729573965072632
1722682167.2098804,26,0.6297855973243713
1722694888.5121017,27,0.7082140445709229
1722708716.05911,28,0.7866371870040894
1722719870.6347616,29,0.8380512595176697
1722731323.4279115,30,0.8564121723175049
1722742052.3088772,31,0.8499137163162231
1722755228.8385854,32,0.8224818110466003
1722768011.2613256,33,0.7720540761947632
1722782167.5982273,34,0.7136642932891846
1722797178.7017443,35,0.6717318296432495
1722812144.9098804,36,0.6604419946670532
1722823138.3083558,37,0.6841578483581543
1722834225.2627792,38,0.7411079406738281
1722845288.4750218,39,0.8111642003059387
