Wall time,Step,Value
1722892427.3757706,38,0.00013358880823943764
1722901522.837071,39,0.00012702414824161679
1722910953.5378392,40,0.00010335831757402048
1722920156.1796534,41,7.687218021601439e-05
1722931164.029527,42,5.589957072515972e-05
1722942982.8934329,43,4.4181935663800687e-05
1722956126.109526,44,4.108357097720727e-05
1722967701.7185144,45,4.1329094528919086e-05
1722981613.282387,46,4.806597644346766e-05
1722995754.128295,47,6.198394112288952e-05
1723009187.4426732,48,8.242784679168835e-05
1723020805.0225172,49,0.00010023640061262995
